Query-Context-Relevance-sem_similarity
Query,Context_0_Score,Context_1_Score,Context_2_Score,Context_3_Score,Context_4_Score,Context_5_Score
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",0.917,0.706,0.56,0.706,0.463,0.917
May a single female lay from several dozen to several thousand eggs during her lifetime ?,0.685,0.292,0.222,0.172,0.123,0.685
Can beetles be found in almost all habitats?,0.792,0.687,0.617,-0.003,0.619,0.21
What happened on plants and fungi?,0.228,0.021,0.295,0.048,0.013,0.126
Was Calvin Coolidge the twenty-ninth vice president?,0.698,0.679,0.582,0.222,0.041,0.539
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",0.777,0.52,0.618,0.623,0.514,0.362
Did Coolidge graduate from Black River Academy?,0.724,0.649,0.533,0.724,0.494,0.649
When did he drop John from his name?,0.224,0.463,0.402,0.077,0.308,0.187
When did Coolidge meet and marry Grace Anna Goodhue?,0.793,0.543,0.429,0.543,0.481,0.345
What period of rapid economic growth did the United States experience during Coolidge's presidency?,0.706,0.484,0.291,0.334,0.564,0.538
What did Coolidge do after graduating from Amherst?,0.827,0.776,0.6,0.776,0.59,0.47
Of what state was Coolidge governor?,0.683,0.718,0.624,0.636,0.63,0.718
Who appointed Harlan Fiske Stone to the Supreme Court?,0.779,0.751,0.542,0.751,0.168,0.779
Was Coolidge the thirteenth President of the United States?,0.669,0.65,0.535,0.14,0.579,0.587
Was Calvin Coolidge Republican?,0.751,0.602,0.645,0.431,0.529,0.521
Was Calvin Coolidge a governor of MassachuS08_setts?,0.694,0.685,0.617,0.181,0.592,0.544
When was Coolidge born?,0.619,0.629,0.565,0.629,0.39,0.537
Where did Coolidge's grandfather had government offices?,0.642,0.686,0.607,0.621,0.532,0.686
